objectid,filename,Pager Identifier,Page number,Stope Book Name,Stope Book number,Volume number,Sill number,subject,Level & Floor,title,description,map_type,county,location,latitude,longitude,geomethod,datum,date,creator,identifier,scanned,optimized,map_width_inches,map_length_inches,relations_defined,relations_defined_staff,map_scale,township,range,section,format
2278,2278.jpg,41,41,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1600-2,ELM ORLU 1600-2,ELM ORLU 1600-2,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2279,2279.jpg,42,42,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1600-1,ELM ORLU 1600-1,ELM ORLU 1600-1,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2280,2280.jpg,43,43,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1600 SILL,ELM ORLU 1600 SILL,ELM ORLU 1600 SILL,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2281,2281.jpg,44,44,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-12,ELM ORLU 1700-12,ELM ORLU 1700-12,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2282,2282.jpg,45,45,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-11,ELM ORLU 1700-11,ELM ORLU 1700-11,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2283,2283.jpg,46,46,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-10,ELM ORLU 1700-10,ELM ORLU 1700-10,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2284,2284.jpg,47,47,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-9,ELM ORLU 1700-9,ELM ORLU 1700-9,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2285,2285.jpg,48,48,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-8,ELM ORLU 1700-8,ELM ORLU 1700-8,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2286,2286.jpg,49,49,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-7,ELM ORLU 1700-7,ELM ORLU 1700-7,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2287,2287.jpg,50,50,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-6,ELM ORLU 1700-6,ELM ORLU 1700-6,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2288,2288.jpg,51,51,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-5,ELM ORLU 1700-5,ELM ORLU 1700-5,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2289,2289.jpg,52,52,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-4,ELM ORLU 1700-4,ELM ORLU 1700-4,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2290,2290.jpg,53,53,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-3,ELM ORLU 1700-3,ELM ORLU 1700-3,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2291,2291.jpg,54,54,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-2,ELM ORLU 1700-2,ELM ORLU 1700-2,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2292,2292.jpg,55,55,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700-1,ELM ORLU 1700-1,ELM ORLU 1700-1,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2293,2293.jpg,56,56,ELM ORLU,V-29,1,ALL LEVELS,ELM ORLU,ELM ORLU 1700 SILL,ELM ORLU 1700 SILL,ELM ORLU 1700 SILL,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2294,2294.jpg,57,57,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-12,ELM ORLU 1800-12,BLACK ROCK 1800-12,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2295,2295.jpg,58,58,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-11,ELM ORLU 1800-11,BLACK ROCK 1800-11,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2296,2296.jpg,59,59,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-10,ELM ORLU 1800-10,BLACK ROCK 1800-10,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2297,2297.jpg,60,60,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-9,ELM ORLU 1800-9,BLACK ROCK 1800-9,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2298,2298.jpg,61,61,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-8,ELM ORLU 1800-8,BLACK ROCK 1800-8,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2299,2299.jpg,62,62,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-7,ELM ORLU 1800-7,BLACK ROCK 1800-7,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2300,2300.jpg,63,63,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-6,ELM ORLU 1800-6,BLACK ROCK 1800-6,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2301,2301.jpg,64,64,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-5,ELM ORLU 1800-5,BLACK ROCK 1800-5,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2302,2302.jpg,65,65,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-4,ELM ORLU 1800-4,BLACK ROCK 1800-4,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2303,2303.jpg,66,66,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-3,ELM ORLU 1800-3,BLACK ROCK 1800-3,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2304,2304.jpg,67,67,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-2,ELM ORLU 1800-2,BLACK ROCK 1800-2,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2305,2305.jpg,68,68,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-1,ELM ORLU 1800-1,BLACK ROCK 1800-1,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2306,2306.jpg,69,69,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1800 SILL; ELM ORLU 1900 SILL,ELM ORLU 1800 SILL,BLACK ROCK 1800 SILL; ELM ORLU 1900 SILL,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2307,2307.jpg,70,70,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-12,BLACK ROCK 1800-12,BLACK ROCK 1800-12,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2308,2308.jpg,71,71,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-11,BLACK ROCK 1800-11,BLACK ROCK 1800-11,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2309,2309.jpg,72,72,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-10,BLACK ROCK 1800-10,BLACK ROCK 1800-10,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2310,2310.jpg,73,73,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-9,BLACK ROCK 1800-9,BLACK ROCK 1800-9,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2311,2311.jpg,74,74,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-8,BLACK ROCK 1800-8,BLACK ROCK 1800-8,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2312,2312.jpg,75,75,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-7,BLACK ROCK 1800-7,BLACK ROCK 1800-7,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2313,2313.jpg,76,76,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-6,BLACK ROCK 1800-6,BLACK ROCK 1800-6,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2314,2314.jpg,77,77,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-5,BLACK ROCK 1800-5,BLACK ROCK 1800-5,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1926,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2315,2315.jpg,78,78,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-4,BLACK ROCK 1800-4,BLACK ROCK 1800-4,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2316,2316.jpg,79,79,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-3,BLACK ROCK 1800-3,BLACK ROCK 1800-3,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2317,2317.jpg,80,80,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-2,BLACK ROCK 1800-2,BLACK ROCK 1800-2,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2318,2318.jpg,81,81,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 1800-1,BLACK ROCK 1800-1,BLACK ROCK 1800-1,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2319,2319.jpg,82,82,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1800 SILL; ELM ORLU 1900 SILL,BLACK ROCK 1800 SILL; ELM ORLU 1900 SILL,BLACK ROCK 1800 SILL; ELM ORLU 1900 SILL,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2320,2320.jpg,83,83,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-12; ELM ORLU 2000-12,BLACK ROCK 1900-12; ELM ORLU 2000-12,BLACK ROCK 1900-12; ELM ORLU 2000-12,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2321,2321.jpg,84,84,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-11; ELM ORLU 2000-11,BLACK ROCK 1900-11; ELM ORLU 2000-11,BLACK ROCK 1900-11; ELM ORLU 2000-11,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2322,2322.jpg,85,85,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-10; ELM ORLU 2000-10,BLACK ROCK 1900-10; ELM ORLU 2000-10,BLACK ROCK 1900-10; ELM ORLU 2000-10,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2323,2323.jpg,86,86,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-9; ELM ORLU 2000-9,BLACK ROCK 1900-9; ELM ORLU 2000-9,BLACK ROCK 1900-9; ELM ORLU 2000-9,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1925,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2324,2324.jpg,87,87,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-8; ELM ORLU 2000-8,BLACK ROCK 1900-8; ELM ORLU 2000-8,BLACK ROCK 1900-8; ELM ORLU 2000-8,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2325,2325.jpg,88,88,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-7; ELM ORLU 2000-7,BLACK ROCK 1900-7; ELM ORLU 2000-7,BLACK ROCK 1900-7; ELM ORLU 2000-7,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2326,2326.jpg,89,89,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-6; ELM ORLU 2000-6,BLACK ROCK 1900-6; ELM ORLU 2000-6,BLACK ROCK 1900-6; ELM ORLU 2000-6,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2327,2327.jpg,90,90,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-5; ELM ORLU 2000-5,BLACK ROCK 1900-5; ELM ORLU 2000-5,BLACK ROCK 1900-5; ELM ORLU 2000-5,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2328,2328.jpg,91,91,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-4; ELM ORLU 2000-4,BLACK ROCK 1900-4; ELM ORLU 2000-4,BLACK ROCK 1900-4; ELM ORLU 2000-4,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2329,2329.jpg,92,92,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-3; ELM ORLU 2000-3,BLACK ROCK 1900-3; ELM ORLU 2000-3,BLACK ROCK 1900-3; ELM ORLU 2000-3,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2330,2330.jpg,93,93,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-2; ELM ORLU 2000-2,BLACK ROCK 1900-2; ELM ORLU 2000-2,BLACK ROCK 1900-2; ELM ORLU 2000-2,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2331,2331.jpg,94,94,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK; ELM ORLU,BLACK ROCK 1900-1; ELM ORLU 2000-1,BLACK ROCK 1900-1; ELM ORLU 2000-1,BLACK ROCK 1900-1; ELM ORLU 2000-1,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2332,2332.jpg,95,95,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK; ELM ORLU,BADGER STATE 2100 SILL; BLACK ROCK 1900 SILL; ELM ORLU 2000 SILL,BADGER STATE 2100 SILL; BLACK ROCK 1900 SILL; ELM ORLU 2000 SILL,BADGER STATE 2100 SILL; BLACK ROCK 1900 SILL; ELM ORLU 2000 SILL,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1922,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2333,2333.jpg,96,96,ELM ORLU,V-29,1,ALL LEVELS,,BLANK PAGE,BLANK PAGE,BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2334,2334.jpg,97,97,ELM ORLU,V-29,1,ALL LEVELS,,BLANK PAGE,BLANK PAGE,BLANK PAGE,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2335,2335.jpg,98,98,ELM ORLU,V-29,1,ALL LEVELS,BLACK ROCK,BLACK ROCK 2000-18,BLACK ROCK 2000-18,BLACK ROCK 2000-18,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2336,2336.jpg,99,99,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-10; BLACK ROCK 2000-17,BADGER STATE 2200-10; BLACK ROCK 2000-17,BADGER STATE 2200-10; BLACK ROCK 2000-17,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2337,2337.jpg,100,100,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-9; BLACK ROCK 2000-16,BADGER STATE 2200-9; BLACK ROCK 2000-16,BADGER STATE 2200-9; BLACK ROCK 2000-16,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2338,2338.jpg,101,101,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-8; BLACK ROCK 2000-15,BADGER STATE 2200-8; BLACK ROCK 2000-15,BADGER STATE 2200-8; BLACK ROCK 2000-15,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2339,2339.jpg,102,102,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-7; BLACK ROCK 2000-14,BADGER STATE 2200-7; BLACK ROCK 2000-14,BADGER STATE 2200-7; BLACK ROCK 2000-14,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2340,2340.jpg,103,103,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-6; BLACK ROCK 2000-13,BADGER STATE 2200-6; BLACK ROCK 2000-13,BADGER STATE 2200-6; BLACK ROCK 2000-13,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2341,2341.jpg,104,104,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-5; BLACK ROCK 2000-12,BADGER STATE 2200-5; BLACK ROCK 2000-12,BADGER STATE 2200-5; BLACK ROCK 2000-12,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2342,2342.jpg,105,105,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-4; BLACK ROCK 2000-11,BADGER STATE 2200-4; BLACK ROCK 2000-11,BADGER STATE 2200-4; BLACK ROCK 2000-11,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2343,2343.jpg,106,106,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-3; BLACK ROCK 2000-10,BADGER STATE 2200-3; BLACK ROCK 2000-10,BADGER STATE 2200-3; BLACK ROCK 2000-10,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
2344,2344.jpg,107,107,ELM ORLU,V-29,1,ALL LEVELS,BADGER STATE; BLACK ROCK,BADGER STATE 2200-2; BLACK ROCK 2000-9,BADGER STATE 2200-2; BLACK ROCK 2000-9,BADGER STATE 2200-2; BLACK ROCK 2000-9,Underground Workings,Silver Bow,Butte*,46.024491,-112.549907,Google Earth,WGS84,1/1/1924,Anaconda Copper Mining Company,Digital Copy Only,1,1,53.5,19,NO,,"1"" = 50'",03N,07W,6,
